stock_code,基金代码,基金名称,持股数(股),占总股本比例
600823,160218,国泰国证房地产行业指数A,105.71万,0.03%
600823,515060,华夏中证全指房地产ETF,87.24万,0.02%
600823,159940,广发中证全指金融地产ETF,44.50万,0.01%
600823,970041,国海量化优选一年持有股票A,26.32万,0.01%
600823,2871,华夏智胜价值成长股票A,5.32万,0.00%
600823,13696,广发安裕稳健养老目标一年持有混合（FOF）A,3.99万,0.00%
600823,510510,广发中证500ETF,3.45万,0.00%
600823,850010,海通量化成长精选B,2.48万,0.00%
300572,166002,中欧新蓝筹混合A,202.57万,0.88%
300572,14560,东方汽车产业趋势混合A,29.45万,0.13%
688525,159639,南方中证上海环交所碳中和ETF,4614,0.00%
688525,159667,国泰中证机床ETF,4614,0.00%
688525,512330,南方中证500信息技术ETF,4614,0.00%
688525,5561,创金合信中证红利低波动指数A,4614,0.00%
688525,12543,嘉实中证新能源汽车指数A,4614,0.00%
688525,159625,嘉实国证绿色电力ETF,4614,0.00%
688525,159713,富国中证稀土产业ETF,4614,0.00%
688525,159973,弘毅远方国证民企领先100ETF,4614,0.00%
688525,161027,富国中证全指证券公司指数A,4614,0.00%
688525,515160,招商MSCI中国A股国际通ETF,4614,0.00%
301255,10701,恒越内需驱动混合A,34.32万,0.50%
301255,6049,恒越研究精选混合A/B,31.91万,0.47%
301255,7811,淳厚信泽A,24.00万,0.35%
301255,10513,淳厚益加债券A,18.00万,0.26%
301255,1877,宝盈国家安全沪港深股票A,14.41万,0.21%
301255,11349,淳厚现代服务业A,9.00万,0.13%
301255,17107,淳厚优加一年持有混合A,6.00万,0.09%
300422,10534,广发均衡增长混合A,1600,0.00%
300422,320003,诺安先锋混合A,41,0.00%
300489,159939,广发中证全指信息技术ETF,3.78万,0.03%
300489,942,广发信息技术联接A,700,0.00%
605589,5313,万家中证1000指数增强A,461.48万,0.59%
605589,4359,创金合信量化核心混合A,3.40万,0.00%
605589,14691,中加量化研选混合A,1.53万,0.00%
600729,161005,富国天惠成长混合（LOF）A/B,1990.95万,4.90%
600729,880,富国研究精选灵活配置混合A,155.55万,0.38%
600729,8905,嘉合锦鹏添利混合A,80.00万,0.20%
